DAgger Training Results
Expert Performance: Reward=827.49, Avg Falls=0.0
Training Time: 3:50:39.261498
Total Samples: 20000

Student Performance per Iteration:
Iteration | Reward | Avg Falls
----------|--------|----------
        1 | -19.64 |      0.0
        2 | 290.92 |      0.0
        3 | 104.79 |      0.8
        4 | 284.62 |      0.6
        5 | 341.81 |      0.0
        6 | 347.82 |      0.6
        7 | 354.01 |      0.0
        8 | 385.49 |      0.0
        9 | 395.90 |      0.0
       10 | 587.07 |      0.0
       11 | 550.09 |      0.2
       12 | 530.31 |      0.0
       13 | 559.23 |      0.0
       14 | 711.86 |      0.0
       15 | 591.64 |      0.0
       16 | 647.83 |      0.0
       17 | 597.45 |      0.0
       18 | 545.03 |      0.0
       19 | 572.54 |      0.0
       20 | 763.08 |      0.0
