Modified DAgger (KDE + Action Noise) Training Results
Expert Performance: Reward=750.70, Avg Falls=0.0
Training Time: 1:13:12.791607
Total Samples: 2624

Hyperparameters:
  Expert mixing prob (β): 0.1
  Action noise prob (α): 0.2
  Action noise std (σ): 0.1
  KDE threshold: 0.008
  KDE bandwidth: 0.4

Student Performance per Iteration:
Iteration | Reward | Avg Falls | Filter Ratio | Avg Density
----------|--------|----------|-------------|-------------
        1 | -30.60 |      0.0 |       0.00% |       0.0000
        2 | 377.83 |      0.0 |      32.70% |       0.0178
        3 | 690.32 |      0.0 |      77.30% |       0.0651
        4 | 562.93 |      0.2 |      57.65% |       0.0286
        5 | 488.92 |      0.0 |      96.00% |       0.1422
        6 | 528.12 |      0.0 |      98.40% |       0.1413
        7 | 566.44 |      0.2 |      98.50% |       0.1666
        8 | 402.63 |      0.0 |      90.30% |       0.0873
        9 | 438.25 |      0.6 |      98.60% |       0.1406
       10 | 744.26 |      0.0 |      91.65% |       0.0659
       11 | 727.54 |      0.0 |      98.30% |       0.1255
       12 | 532.05 |      0.2 |      98.90% |       0.1581
       13 | 404.23 |      0.0 |      98.80% |       0.1570
       14 | 639.18 |      0.4 |      99.00% |       0.1254
       15 | 602.42 |      0.0 |      98.60% |       0.1287
       16 | 654.03 |      0.0 |      98.70% |       0.1503
       17 | 367.97 |      0.0 |      98.80% |       0.1511
       18 | 600.39 |      0.0 |      95.90% |       0.0963
       19 | 470.03 |      0.0 |      98.80% |       0.1524
       20 | 589.60 |      0.2 |      99.10% |       0.1411
