#{"t_start": 1764442130.8799038, "env_id": "CarRacing-v3"}
r,l,t
29.032258,1000,37.689815
56.996587,1000,74.21803
30.0,1000,110.68252
70.909091,1000,147.839553
103.448276,1000,184.932742
139.520958,1000,222.424032
375.095785,1000,283.251758
517.021277,1000,321.359231
590.721649,1000,359.380482
320.454545,1000,397.345192
401.66113,1000,435.868803
536.655949,1000,474.162536
896.124031,1000,535.654672
536.363636,1000,573.672485
707.692308,1000,611.987372
682.142857,1000,650.259701
866.911765,1000,687.991287
573.835125,1000,726.204131
704.664723,1000,786.358538
376.635514,1000,824.601325
575.373134,1000,862.895913
367.28972,1000,901.281225
641.007194,1000,939.987751
881.273408,1000,978.463089
487.5,1000,1016.913097
641.697417,1000,1079.469364
678.947368,1000,1117.924675
635.973597,1000,1156.487653
573.400673,1000,1195.291974
731.501832,1000,1233.849671
544.518272,1000,1272.649113
869.69697,1000,1335.193963
853.846154,1000,1373.661343
785.714286,1000,1412.465234
658.503401,1000,1451.103188
838.181818,1000,1489.679828
815.441176,1000,1528.298535
621.712538,1000,1590.862749
845.255474,1000,1629.034826
866.911765,1000,1667.280671
654.208754,1000,1705.685039
633.552632,1000,1744.408858
834.108527,1000,1782.112389
815.309446,1000,1845.344109
809.090909,1000,1884.76381
734.482759,1000,1923.552512
296.551724,1000,1962.276242
836.666667,1000,2001.052188
892.619926,1000,2039.810623
857.142857,1000,2078.581493
846.153846,1000,2141.489602
885.507246,1000,2180.061264
882.935154,1000,2219.182254
914.2,858,2252.259354
409.55414,1000,2290.749474
880.916031,1000,2329.370357
871.88755,1000,2391.21663
439.473684,1000,2430.570346
581.818182,1000,2469.451919
730.508475,1000,2507.938208
918.3,817,2539.820841
662.5,1000,2579.251288
847.712418,1000,2641.277128
733.855799,1000,2679.870117
846.488294,1000,2718.686871
647.404844,1000,2757.263919
848.630137,1000,2796.350525
860.0,1000,2835.375237
879.522184,1000,2874.497193
874.820144,1000,2937.999211
828.301887,1000,2976.566892
816.666667,1000,3014.622343
360.365854,1000,3053.448732
867.871486,1000,3092.392801
882.078853,1000,3131.949625
883.277592,1000,3197.113842
871.731449,1000,3236.059167
666.871166,1000,3277.571244
887.704918,1000,3317.284178
828.030303,1000,3358.379099
917.6,824,3394.68219
827.083333,1000,3461.513394
856.081081,1000,3500.070156
826.380368,1000,3539.087021
869.798658,1000,3578.100603
861.538462,1000,3617.165806
805.04451,1000,3656.285791
574.074074,1000,3695.018327
872.696246,1000,3755.228593
744.720497,1000,3794.090144
866.911765,1000,3833.184916
839.597315,1000,3872.230083
730.670927,1000,3911.355043
866.911765,1000,3950.343179
679.179811,1000,4013.809417
864.285714,1000,4052.867263
510.497238,1000,4092.226875
814.473684,1000,4131.416828
613.043478,1000,4171.125545
896.183206,1000,4210.309268
920.5,795,4264.727038
