#{"t_start": 1761079158.4427302, "env_id": "CarRacing-v3"}
r,l,t
12.318841,1000,67.425811
13.333333,1000,127.50289
103.076923,1000,187.223252
45.390071,1000,247.549583
187.878788,1000,306.934983
412.820513,1000,368.121753
233.333333,1000,463.353625
50.735294,1000,524.055781
479.335793,1000,585.1631
186.144578,1000,645.789876
693.650794,1000,706.587247
790.459364,1000,765.724762
163.975155,1000,866.677772
498.615917,1000,927.97173
181.818182,1000,988.656363
275.838926,1000,1049.306712
395.114007,1000,1109.815649
276.205788,1000,1171.121891
652.767528,1000,1270.314253
698.449612,1000,1331.890735
478.947368,1000,1393.651656
753.146853,1000,1454.455875
684.810127,1000,1516.251193
304.388715,1000,1577.90387
695.774648,1000,1639.954029
581.25,1000,1740.152278
646.91358,1000,1802.043461
114.285714,1000,1863.867294
860.144928,1000,1926.279073
837.728938,1000,1987.613464
697.385621,1000,2049.726471
828.301887,1000,2150.91661
669.230769,1000,2212.86553
498.662207,1000,2275.779231
692.517007,1000,2338.128438
864.788732,1000,2400.721671
903.3,967,2460.035176
623.076923,1000,2561.256817
836.842105,1000,2623.610203
655.932203,1000,2685.089624
714.569536,1000,2746.679573
768.613139,1000,2806.257651
420.0,1000,2868.293755
632.484076,1000,2968.868308
516.393443,1000,3031.770888
882.014388,1000,3093.945604
831.29771,1000,3154.92813
296.166134,1000,3217.520304
737.638376,1000,3279.45215
650.788644,1000,3341.753826
685.488959,1000,3441.400507
779.003559,1000,3504.231618
849.090909,1000,3566.536301
787.417219,1000,3628.916178
752.564103,1000,3691.312601
836.842105,1000,3754.326698
625.903614,1000,3851.532158
351.298701,1000,3913.956805
841.818182,1000,3976.825357
663.358779,1000,4038.872783
714.241486,1000,4101.55056
906.7,933,4160.055978
795.622896,1000,4261.035672
624.458204,1000,4323.529624
641.830065,1000,4386.533101
555.405405,1000,4450.537889
756.589147,1000,4514.062365
471.428571,1000,4578.118376
636.024845,1000,4679.26793
